Word,Frequency,Contained
experimental,423,318
investigation,5,5
of,402,40
the,3217,232
aerodynamics,10,8
a,4,1
wing,32,10
in,290,83
slipstream,11,2
an,1388,796
study,15,11
propeller,21,4
was,698,298
made,29,25
order,36,26
to,130,33
determine,59,56
spanwise,42,25
distribution,12,7
lift,18,10
increase,133,98
due,3,3
at,519,200
different,125,106
angles,23,13
attack,8,4
and,224,41
free,91,51
stream,34,15
velocity,34,17
ratios,10,10
results,6,5
were,583,294
intended,12,12
part,79,53
as,21,14
evaluation,29,24
basis,5,5
for,109,35
theoretical,64,47
treatments,11,11
this,48,31
problem,11,8
comparative,7,6
span,17,13
loading,28,23
curves,5,4
together,8,8
with,310,145
supporting,9,9
evidence,16,16
showed,53,40
that,3,3
substantial,18,16
increment,6,4
produced,41,32
by,672,329
destalling,5,3
or,9,6
boundary,16,7
layer,10,4
control,9,6
effect,121,78
integrated,33,31
remaining,8,8
after,50,45
subtracting,2,2
found,4,3
agree,33,32
well,110,97
potential,2,2
flow,5,1
theory,1,1
empirical,35,29
effects,14,9
specific,62,44
configuration,19,13
experiment,13,10
impact,22,18
tube,33,20
low,112,76
pressure,9,2
analysis,52,37
has,68,52
been,591,383
relation,49,38
between,199,157
mach,23,8
number,2,2
pressures,28,19
densities,7,6
extremely,17,15
it,27,15
is,197,66
shown,4,4
differ,15,14
appreciably,16,16
from,150,88
corresponding,79,63
continuum,5,4
relations,38,31
vibration,29,13
isolation,1,1
aircraft,22,16
power,19,17
plants,2,1
structure,1,1
can,207,150
almost,22,22
always,16,15
be,208,114
traced,6,6
vibratory,5,4
forces,2,2
originating,7,6
plant,5,4
these,180,132
are,118,50
transmitted,5,4
two,129,94
ways,8,8
action,16,10
air,4,2
upon,96,74
surfaces,3,2
adjacent,9,7
slip,4,2
direct,17,16
transmission,6,6
unbalanced,1,1
through,142,104
engine,24,11
mounting,2,1
latter,43,41
caused,11,11
preponderance,1,1
disturbance,41,30
stresses,31,13
induced,91,66
occasionally,1,1
produce,29,27
fatigue,58,22
failures,8,8
associated,4,4
parts,12,12
shorten,1,1
useful,40,39
life,8,6
entire,32,32
more,176,158
important,3,3
however,1,1
psychological,1,1
physiological,1,1
continuous,15,10
its,187,158
attendant,6,5
noise,23,10
on,417,198
passengers,1,1
crew,1,1
may,162,124
very,16,15
likely,8,8
major,39,34
source,3,3
rapid,41,32
which,14,11
so,20,17
intimately,1,1
flying,16,14
importance,27,27
desirability,4,4
drastically,2,2
reducing,13,12
hardly,2,2
questioned,4,4
paper,8,7
limited,42,39
consideration,53,51
directly,26,26
further,10,10
considers,19,19
rigid,39,25
bodies,2,2
attached,34,27
flexible,25,13
means,113,103
also,7,6
considered,1,1
body,28,8
relatively,51,46
large,11,9
mass,30,19
case,8,7
engines,5,5
structures,1,1
having,120,104
axial,133,87
symmetry,3,3
radial,50,34
although,5,5
methods,40,38
employed,30,28
could,66,62
easily,10,10
extended,66,59
other,68,63
cases,13,12
flight,18,14
measurements,68,45
static,18,9
dynamic,12,7
stability,2,2
drag,2,1
blunted,47,26
cone,20,9
numbers,7,3
tests,9,7
short,18,12
blunt,98,67
nosed,45,30
without,84,76
half,21,13
angle,12,3
conical,115,62
afterbody,11,5
pressurized,27,18
ballistic,11,6
range,19,10
nominal,18,16
respectively,1,1
models,27,19
statically,10,7
stable,21,12
about,42,29
center,9,6
gravity,20,14
location,25,19
tested,16,16
but,18,15
exhibited,9,9
neutral,20,14
